simulation,validSimulation,season,validSeason,count,mean,std,min,25%,50%,75%,max
211,True,9,True,223.0,590586.2376681614,301934.32760830806,13597.0,421508.0,543881.0,775030.0,1359702.0
211,True,10,True,247.0,623560.9109311741,323599.13707101555,26896.0,416887.0,578263.0,887566.0,1344797.0
212,False,1,True,219.0,386558.36529680365,202309.13807791594,17701.0,247818.0,336324.0,469084.0,885063.0
212,False,2,True,259.0,568390.3822393822,312110.23604089086,12405.0,372158.0,508615.0,756720.0,1240525.0
212,False,3,True,260.0,688910.3192307692,357533.2814137242,13875.0,457886.0,666016.0,818645.0,1387534.0
212,False,4,False,238.0,597918.9705882353,344923.1755149663,14607.0,409006.0,569686.0,755930.25,1460734.0
213,True,1,True,227.0,437189.986784141,192517.6697383441,61954.0,309772.0,398278.0,517762.0,885063.0
213,True,2,True,228.0,464703.0263157895,253881.9130396431,10583.0,306893.0,412719.0,582039.0,1058253.0
213,True,3,True,223.0,528239.6547085202,284755.4916518463,11721.0,363355.0,468846.0,644663.0,1172114.0
213,True,4,True,233.0,518997.62660944206,287594.76641473983,12334.0,357698.0,481042.0,641389.0,1233440.0
